,label_file,bit8_folder,bit8_path,mask_folder,mask_path,img_path,img_folder,img_subfolder,img_file,mask_max
0,wdata/AOI_2_Vegas_Roads_Train/geojson/spacenetroads/spacenetroads_AOI_2_Vegas_img813.geojson,wdata/AOI_2_Vegas_Roads_Train/PAN_8bit,wdata/AOI_2_Vegas_Roads_Train/PAN_8bit/PAN_AOI_2_Vegas_img813.tif,wdata/AOI_2_Vegas_Roads_Train/PAN_mask,wdata/AOI_2_Vegas_Roads_Train/PAN_mask/PAN_AOI_2_Vegas_img813.jpg,wdata/AOI_2_Vegas_Roads_Train/PAN/PAN_AOI_2_Vegas_img813.tif,AOI_2_Vegas_Roads_Train,PAN,PAN_AOI_2_Vegas_img813.tif,150
1,wdata/AOI_2_Vegas_Roads_Train/geojson/spacenetroads/spacenetroads_AOI_2_Vegas_img1408.geojson,wdata/AOI_2_Vegas_Roads_Train/PAN_8bit,wdata/AOI_2_Vegas_Roads_Train/PAN_8bit/PAN_AOI_2_Vegas_img1408.tif,wdata/AOI_2_Vegas_Roads_Train/PAN_mask,wdata/AOI_2_Vegas_Roads_Train/PAN_mask/PAN_AOI_2_Vegas_img1408.jpg,wdata/AOI_2_Vegas_Roads_Train/PAN/PAN_AOI_2_Vegas_img1408.tif,AOI_2_Vegas_Roads_Train,PAN,PAN_AOI_2_Vegas_img1408.tif,150
2,wdata/AOI_2_Vegas_Roads_Train/geojson/spacenetroads/spacenetroads_AOI_2_Vegas_img223.geojson,wdata/AOI_2_Vegas_Roads_Train/PAN_8bit,wdata/AOI_2_Vegas_Roads_Train/PAN_8bit/PAN_AOI_2_Vegas_img223.tif,wdata/AOI_2_Vegas_Roads_Train/PAN_mask,wdata/AOI_2_Vegas_Roads_Train/PAN_mask/PAN_AOI_2_Vegas_img223.jpg,wdata/AOI_2_Vegas_Roads_Train/PAN/PAN_AOI_2_Vegas_img223.tif,AOI_2_Vegas_Roads_Train,PAN,PAN_AOI_2_Vegas_img223.tif,150
3,wdata/AOI_2_Vegas_Roads_Train/geojson/spacenetroads/spacenetroads_AOI_2_Vegas_img153.geojson,wdata/AOI_2_Vegas_Roads_Train/PAN_8bit,wdata/AOI_2_Vegas_Roads_Train/PAN_8bit/PAN_AOI_2_Vegas_img153.tif,wdata/AOI_2_Vegas_Roads_Train/PAN_mask,wdata/AOI_2_Vegas_Roads_Train/PAN_mask/PAN_AOI_2_Vegas_img153.jpg,wdata/AOI_2_Vegas_Roads_Train/PAN/PAN_AOI_2_Vegas_img153.tif,AOI_2_Vegas_Roads_Train,PAN,PAN_AOI_2_Vegas_img153.tif,150
4,wdata/AOI_2_Vegas_Roads_Train/geojson/spacenetroads/spacenetroads_AOI_2_Vegas_img524.geojson,wdata/AOI_2_Vegas_Roads_Train/PAN_8bit,wdata/AOI_2_Vegas_Roads_Train/PAN_8bit/PAN_AOI_2_Vegas_img524.tif,wdata/AOI_2_Vegas_Roads_Train/PAN_mask,wdata/AOI_2_Vegas_Roads_Train/PAN_mask/PAN_AOI_2_Vegas_img524.jpg,wdata/AOI_2_Vegas_Roads_Train/PAN/PAN_AOI_2_Vegas_img524.tif,AOI_2_Vegas_Roads_Train,PAN,PAN_AOI_2_Vegas_img524.tif,150
5,wdata/AOI_2_Vegas_Roads_Train/geojson/spacenetroads/spacenetroads_AOI_2_Vegas_img222.geojson,wdata/AOI_2_Vegas_Roads_Train/PAN_8bit,wdata/AOI_2_Vegas_Roads_Train/PAN_8bit/PAN_AOI_2_Vegas_img222.tif,wdata/AOI_2_Vegas_Roads_Train/PAN_mask,wdata/AOI_2_Vegas_Roads_Train/PAN_mask/PAN_AOI_2_Vegas_img222.jpg,wdata/AOI_2_Vegas_Roads_Train/PAN/PAN_AOI_2_Vegas_img222.tif,AOI_2_Vegas_Roads_Train,PAN,PAN_AOI_2_Vegas_img222.tif,150
6,wdata/AOI_2_Vegas_Roads_Train/geojson/spacenetroads/spacenetroads_AOI_2_Vegas_img1579.geojson,wdata/AOI_2_Vegas_Roads_Train/PAN_8bit,wdata/AOI_2_Vegas_Roads_Train/PAN_8bit/PAN_AOI_2_Vegas_img1579.tif,wdata/AOI_2_Vegas_Roads_Train/PAN_mask,wdata/AOI_2_Vegas_Roads_Train/PAN_mask/PAN_AOI_2_Vegas_img1579.jpg,wdata/AOI_2_Vegas_Roads_Train/PAN/PAN_AOI_2_Vegas_img1579.tif,AOI_2_Vegas_Roads_Train,PAN,PAN_AOI_2_Vegas_img1579.tif,150
7,wdata/AOI_2_Vegas_Roads_Train/geojson/spacenetroads/spacenetroads_AOI_2_Vegas_img544.geojson,wdata/AOI_2_Vegas_Roads_Train/PAN_8bit,wdata/AOI_2_Vegas_Roads_Train/PAN_8bit/PAN_AOI_2_Vegas_img544.tif,wdata/AOI_2_Vegas_Roads_Train/PAN_mask,wdata/AOI_2_Vegas_Roads_Train/PAN_mask/PAN_AOI_2_Vegas_img544.jpg,wdata/AOI_2_Vegas_Roads_Train/PAN/PAN_AOI_2_Vegas_img544.tif,AOI_2_Vegas_Roads_Train,PAN,PAN_AOI_2_Vegas_img544.tif,150
8,wdata/AOI_2_Vegas_Roads_Train/geojson/spacenetroads/spacenetroads_AOI_2_Vegas_img1277.geojson,wdata/AOI_2_Vegas_Roads_Train/PAN_8bit,wdata/AOI_2_Vegas_Roads_Train/PAN_8bit/PAN_AOI_2_Vegas_img1277.tif,wdata/AOI_2_Vegas_Roads_Train/PAN_mask,wdata/AOI_2_Vegas_Roads_Train/PAN_mask/PAN_AOI_2_Vegas_img1277.jpg,wdata/AOI_2_Vegas_Roads_Train/PAN/PAN_AOI_2_Vegas_img1277.tif,AOI_2_Vegas_Roads_Train,PAN,PAN_AOI_2_Vegas_img1277.tif,150
9,wdata/AOI_2_Vegas_Roads_Train/geojson/spacenetroads/spacenetroads_AOI_2_Vegas_img939.geojson,wdata/AOI_2_Vegas_Roads_Train/PAN_8bit,wdata/AOI_2_Vegas_Roads_Train/PAN_8bit/PAN_AOI_2_Vegas_img939.tif,wdata/AOI_2_Vegas_Roads_Train/PAN_mask,wdata/AOI_2_Vegas_Roads_Train/PAN_mask/PAN_AOI_2_Vegas_img939.jpg,wdata/AOI_2_Vegas_Roads_Train/PAN/PAN_AOI_2_Vegas_img939.tif,AOI_2_Vegas_Roads_Train,PAN,PAN_AOI_2_Vegas_img939.tif,150
